;;;;;;;;;;;;;
;;;;;Х;У;;;;;;;
;;;1;2;3;4;5;;;;;;
;;;;;;;;;;;;;
;;;участок № 1;1;1241.2422;2753.3312;;;;;;;
;;;;2;1256.2163;2740.0731;;;;;;;
;;;;3;1319.1622;2807.4719;;;;;;;
;;;;4;1342.7462;2851.4482;;;;;;;
;;;;5;1348.8845;2891.221;;;;;;;
;;;;6;1325.9466;2895.4246;;;;;;;
;;;;7;1322.3928;2861.4723;;;;;;;
;;;;8;1299.778;2820.4061;;;;;;;
;;;;1;1241.2422;2753.3312;S=0.3893 га;;;;;;
;;;;;;;;;;;;;
;;;участок № 2;6;1325.9466;2895.4246;;;;;;;
;;;;5;1348.8845;2891.221;;;;;;;
;;;;9;1356.9968;2922.9423;;;;;;;
;;;;10;1377.9963;2934.2598;;;;;;;
;;;;11;1408.0417;2934.2598;;;;;;;
;;;;12;1408.0417;2954.2598;;;;;;;
;;;;13;1379.9347;2954.2598;;;;;;;
;;;;14;1354.4122;2948.4874;;;;;;;
;;;;15;1341.4894;2939.1101;;;;;;;
;;;;16;1330.5051;2923.589;;;;;;;
;;;;6;1325.9466;2895.4246;S=0.2256 га;;;;;;
;;;;;;;;;;;;;
;;;участок № 3;11;1408.0417;2934.2598;;;;;;;
;;;;17;1476.8836;2934.2598;;;;;;;
;;;;18;1476.8836;3014.7656;;;;;;;
;;;;19;1408.6677;3014.7656;;;;;;;
;;;;12;1408.0417;2954.2598;;;;;;;
;;;;11;1408.0417;2934.2598;S=0.5523 га;;;;;;
;;;;;;;;;;;;;
;;;;;;Общая площадь:;1.1672 га;;;;;;
